wick_idx,date,time_et,direction,wick_pct,extreme,wick_close,entry,entry_price,entry_kind,target_dist_dollar,target_dist_pct,touched_target,touched_day,peak_mfe_dollar,peak_mfe_pct,peak_mfe_day,peak_mae_dollar,peak_mae_pct,rsi_1m_at_wick,stochrsi_1m_at_wick,rsi_5m_at_wick,atr_1m_at_wick,wick_atr_ratio,vwap_at_wick,dist_vwap_pct_at_wick
10,2026-01-13,10:59,down,1.108,620.23,627.18,E1,625.9264,1h_after,6.949999999999932,1.1103541886074677,True,1.0,18.87639999999999,3.015753928896431,4,10.673600000000079,1.7052484125929308,41.21708255252049,33.94975880132053,,1.104299999999999,6.29357964321284,627.877792529198,-0.1111350867160378
10,2026-01-13,10:59,down,1.108,620.23,627.18,E2,622.24,next_open,6.949999999999932,1.1169323733607501,True,0.0,15.190000000000055,2.441180251992809,3,14.360000000000014,2.307791205965546,41.21708255252049,33.94975880132053,,1.104299999999999,6.29357964321284,627.877792529198,-0.1111350867160378
11,2026-01-15,13:04,down,1.2325,619.03,626.8,E1,625.53,1h_after,7.769999999999982,1.2421466596326285,True,0.0,18.480000000000018,2.954294758045181,2,11.07000000000005,1.76969929499785,55.02659574467757,52.73208490857045,73.80726323285046,0.8825285714285981,8.804247535490267,625.7579661107887,0.16652347163675132
11,2026-01-15,13:04,down,1.2325,619.03,626.8,E2,625.5,next_open,7.769999999999982,1.2422062350119876,True,0.0,18.450000000000045,2.9496402877697916,1,11.100000000000023,1.7745803357314187,55.02659574467757,52.73208490857045,73.80726323285046,0.8825285714285981,8.804247535490267,625.7579661107887,0.16652347163675132
12,2026-01-15,15:01,down,1.4775,616.14,625.39,E1,622.62,session_close,9.25,1.4856573833156659,True,2.0,15.57000000000005,2.50072275224054,2,13.980000000000018,2.2453502939192473,23.674133639668923,13.61822529429518,50.891410048621516,0.8618428571428386,10.732815064065607,625.7582542441174,-0.05884928270938805
12,2026-01-15,15:01,down,1.4775,616.14,625.39,E2,625.5,next_open,9.25,1.4788169464428458,True,1.0,18.450000000000045,2.9496402877697916,1,11.100000000000023,1.7745803357314187,23.674133639668923,13.61822529429518,50.891410048621516,0.8618428571428386,10.732815064065607,625.7582542441174,-0.05884928270938805
13,2026-01-20,10:37,up,1.743,622.36,611.57,E1,613.5888,1h_after,10.789999999999964,1.7585066741765762,True,0.0,23.01120000000003,3.750264020464525,6,6.5388000000000375,1.0656648230867378,,,,,,611.9298670191359,-0.058808539757814596
13,2026-01-20,10:37,up,1.743,622.36,611.57,E2,609.47,next_open,10.789999999999964,1.7703906673010916,True,1.0,27.129999999999995,4.451408600915548,5,1.6064999999999827,0.2635896762761059,,,,,,611.9298670191359,-0.058808539757814596
14,2026-01-20,12:03,up,1.7297,624.72,613.85,E1,614.1988,1h_after,10.870000000000005,1.7697852877602505,True,3.0,22.401200000000017,3.6472230163914383,6,7.148800000000051,1.1639228210800885,58.25484464653022,96.96021460772356,57.1691909127145,1.482028571428592,7.334541458618397,612.5778091862962,0.20767824015591957
14,2026-01-20,12:03,up,1.7297,624.72,613.85,E2,609.47,next_open,10.870000000000005,1.7835168260948042,True,2.0,27.129999999999995,4.451408600915548,5,1.6064999999999827,0.2635896762761059,58.25484464653022,96.96021460772356,57.1691909127145,1.482028571428592,7.334541458618397,612.5778091862962,0.20767824015591957
15,2026-01-20,12:37,up,1.7545,625.4215,614.64,E1,611.8687,1h_after,10.781500000000051,1.7620610434885868,True,4.0,24.731300000000033,4.041929257044859,6,4.818700000000035,0.7875382414560567,88.64453358597598,67.01998681491973,84.54681220340613,1.4635714285714454,7.366569058077061,612.8792069105301,0.2872985524090258
