date,ticker,total_volume,short_volume,short_volume_ratio,carteret_pct_of_short,nyse_short_volume,nasdaq_carteret_short_volume,nasdaq_chicago_short_volume,adf_short_volume,exempt_volume,svr_sma20,svr_zscore60
2025-12-12,AMD,17854306.0,8026055.0,44.95,86.4757,869008,6940584,216463,0,37026.0,43.7225,-0.0128
2025-12-15,AMD,14257931.0,4519037.0,31.69,91.1787,247777,4120400,150860,0,57357.0,43.201,-1.7026
2025-12-16,AMD,12023191.0,5551146.0,46.17,89.9922,395402,4995600,160144,0,16077.0,42.769,0.169
2025-12-17,AMD,15033062.0,6805348.0,45.27,92.6986,347312,6308464,149572,0,83268.0,42.6125,0.0302
2025-12-18,AMD,14092857.0,6385436.0,45.31,90.7569,391463,5795224,198749,0,18757.0,42.4225,0.0174
2025-12-19,AMD,18294284.0,8948216.0,48.91,92.4341,444523,8271204,232489,0,18521.0,42.7365,0.4784
2025-12-22,AMD,11755339.0,6001813.0,51.06,94.0976,218136,5647563,136114,0,40665.0,43.5795,0.7447
2025-12-23,AMD,9860527.0,4303168.0,43.64,92.6584,211324,3987248,104596,0,26472.0,43.422,-0.3005
2025-12-24,AMD,4179890.0,1961094.0,46.92,92.4335,82354,1812707,66033,0,8806.0,43.3835,0.1382
2025-12-26,AMD,8358256.0,4048670.0,48.44,89.1732,341488,3610328,96854,0,17614.0,43.603,0.3311
2025-12-29,AMD,10345001.0,3982970.0,38.5,90.6263,257815,3609619,115536,0,25825.0,43.416,-1.085
2025-12-30,AMD,8455259.0,3189543.0,37.72,91.5756,203040,2920844,65659,0,23926.0,42.9485,-1.1879
2025-12-31,AMD,9067196.0,3483502.0,38.42,91.5707,183206,3189867,110429,0,13450.0,42.789,-1.0602
2026-01-02,AMD,16323190.0,7102883.0,43.51,91.7644,385007,6517917,199959,0,34608.0,42.9275,-0.3209
2026-01-05,AMD,14994475.0,6618693.0,44.14,92.9393,310492,6151367,156834,0,35821.0,43.1465,-0.202
2026-01-06,AMD,21502668.0,8905389.0,41.42,92.5839,472575,8244959,187855,0,28945.0,43.27,-0.584
2026-01-07,AMD,14856301.0,6484005.0,43.64,93.187,291773,6042249,149983,0,13348.0,43.3415,-0.2049
2026-01-08,AMD,13429906.0,5449613.0,40.58,94.0936,208441,5127739,113433,0,8137.0,43.3275,-0.6762
2026-01-09,AMD,11793888.0,4888910.0,41.45,93.1819,224356,4555578,108976,0,11981.0,43.471,-0.5134
2026-01-12,AMD,14430482.0,7561705.0,52.4,93.9144,342993,7101533,117179,0,25830.0,43.707,1.5279
2026-01-13,AMD,26876156.0,14274553.0,53.11,93.0635,759558,13284404,230591,0,49054.0,44.115,1.7372
2026-01-14,AMD,23075348.0,13313862.0,57.7,91.4182,850808,12171292,291762,0,43134.0,45.4155,2.5381
