date,ticker,total_volume,short_volume,short_volume_ratio,carteret_pct_of_short,nyse_short_volume,nasdaq_carteret_short_volume,nasdaq_chicago_short_volume,adf_short_volume,exempt_volume,svr_sma20,svr_zscore60
2025-12-23,PYPL,5110881.0,2055492.0,40.22,94.8959,70547,1950578,34367,0,13448.0,40.7655,-0.357
2025-12-24,PYPL,2278778.0,853372.0,37.45,95.3243,26239,813471,13662,0,5707.0,40.6965,-0.7792
2025-12-26,PYPL,3019981.0,1083451.0,35.88,96.2632,27166,1042965,13320,0,4213.0,40.3445,-1.013
2025-12-29,PYPL,5507198.0,2133096.0,38.73,95.247,81344,2031711,20041,0,17382.0,41.2635,-0.5849
2025-12-30,PYPL,4744896.0,1581369.0,33.33,97.3437,25226,1539363,16780,0,23008.0,40.9295,-1.4846
2025-12-31,PYPL,5845545.0,2003221.0,34.27,95.9396,48892,1921883,32446,0,9521.0,40.7315,-1.3581
2026-01-02,PYPL,5929344.0,2718495.0,45.85,96.2662,70975,2616993,30527,0,22071.0,40.53,0.5661
2026-01-05,PYPL,6471876.0,2852517.0,44.08,95.4463,108479,2722623,21415,0,15396.0,40.6665,0.293
2026-01-06,PYPL,4467090.0,1856684.0,41.56,95.1607,62083,1766834,27767,0,11254.0,40.8985,-0.12
2026-01-07,PYPL,6232301.0,3120574.0,50.07,96.792,68256,3020467,31851,0,10775.0,41.2965,1.2811
2026-01-08,PYPL,5490095.0,2624500.0,47.8,94.8819,104703,2490175,29622,0,12832.0,41.1785,0.8887
2026-01-09,PYPL,6870081.0,3400989.0,49.5,95.5427,117696,3249396,33897,0,2662.0,41.768,1.1432
2026-01-12,PYPL,7283233.0,3694145.0,50.72,95.2516,127146,3518731,48268,0,600.0,42.3815,1.3158
2026-01-13,PYPL,6820650.0,3201969.0,46.95,95.6795,86007,3063627,52335,0,22764.0,42.53,0.6722
2026-01-14,PYPL,6770583.0,3137507.0,46.34,95.3535,117565,2991723,28219,0,22727.0,42.9545,0.5452
2026-01-15,PYPL,6677222.0,2992211.0,44.81,95.0362,98038,2843683,50490,0,2509.0,43.029,0.2742
2026-01-16,PYPL,4983974.0,2122698.0,42.59,93.9744,93811,1994793,34094,0,13254.0,42.779,-0.0989
2026-01-20,PYPL,7822868.0,3545643.0,45.32,95.3432,126094,3380530,39019,0,35025.0,43.1915,0.3715
2026-01-21,PYPL,6618295.0,2550794.0,38.54,97.3731,49043,2483786,17965,0,6579.0,42.6055,-0.7556
2026-01-22,PYPL,5807377.0,2582473.0,44.47,95.3164,96165,2461521,24787,0,22301.0,42.924,0.2776
2026-01-23,PYPL,3723274.0,1435059.0,38.54,97.0658,18111,1392951,23997,0,874.0,42.84,-0.7291
2026-01-26,PYPL,4064760.0,1659718.0,40.83,96.5518,50013,1602488,7217,0,4707.0,43.009,-0.2978
2026-01-27,PYPL,6151489.0,2938745.0,47.77,93.8294,143678,2757407,37660,0,2163.0,43.6035,0.9642
2026-01-28,PYPL,8757296.0,3999830.0,45.67,95.0856,156114,3803261,40455,0,9712.0,43.9505,0.5669
2026-01-29,PYPL,8017399.0,3656167.0,45.6,95.8504,108020,3504452,43695,0,19182.0,44.564,0.5695
2026-01-30,PYPL,7484072.0,3462834.0,46.27,96.5574,94811,3343624,24399,0,29742.0,45.164,0.6775
2026-02-02,PYPL,11602364.0,5331624.0,45.95,93.1702,312048,4967484,52092,0,13393.0,45.169,0.649
2026-02-03,PYPL,54838365.0,21922838.0,39.98,97.543,164016,21384186,374636,0,2348280.0,44.964,-0.4512
2026-02-04,PYPL,24611980.0,8517590.0,34.61,98.5114,34773,8390795,92022,0,927792.0,44.6165,-1.4061
2026-02-05,PYPL,15210449.0,5514045.0,36.25,95.1508,162149,5246659,105237,0,50911.0,43.9255,-1.0707
2026-02-06,PYPL,13219064.0,3674324.0,27.8,95.2767,131987,3500775,41562,0,194962.0,42.9255,-2.4397
2026-02-09,PYPL,10819395.0,4864520.0,44.96,95.9807,123118,4669001,72401,0,1735.0,42.6985,0.5655
2026-02-10,PYPL,9649611.0,3502243.0,36.29,95.6437,79112,3349675,73456,0,6171.0,41.977,-0.9392
2026-02-11,PYPL,8682218.0,3603877.0,41.51,96.7245,82273,3485832,35772,0,15096.0,41.705,-0.0156
2026-02-12,PYPL,11362538.0,4145917.0,36.49,95.7747,109226,3970741,65950,0,62888.0,41.2125,-0.8674
2026-02-13,PYPL,7832795.0,2476374.0,31.62,95.4947,61557,2364805,50012,0,43664.0,40.553,-1.6545
2026-02-17,PYPL,7189945.0,2596429.0,36.11,94.8636,72786,2463067,60576,0,12721.0,40.229,-0.8581
2026-02-18,PYPL,6644773.0,2602460.0,39.17,95.7182,79607,2491027,31826,0,1045.0,39.9215,-0.3226
2026-02-19,PYPL,7238669.0,2834546.0,39.16,95.566,96798,2708863,28885,0,23771.0,39.9525,-0.3212
2026-02-20,PYPL,6802705.0,2560318.0,37.64,97.2887,51924,2490901,17493,0,7000.0,39.611,-0.6003
2026-02-23,PYPL,32593011.37,15792980.13,48.46,96.4305,342665,15229253,221061,0,101674.0,40.107,1.2386
2026-02-24,PYPL,20708815.06,9052679.41,43.71,96.9271,152850,8774497,125331,0,42540.0,40.251,0.4101
2026-02-25,PYPL,15204562.84,7103904.73,46.72,96.7063,188356,6869920,45628,0,28849.0,40.1985,0.9095
2026-02-26,PYPL,16591417.46,8447608.75,50.92,95.7375,256686,8087527,103394,0,31733.0,40.461,1.6963
2026-02-27,PYPL,7137600.48,2802126.37,39.26,96.5926,62972,2706648,32506,0,8765.0,40.144,-0.4916
2026-03-02,PYPL,5886434.26,2299792.81,39.07,95.8191,69831,2203640,26321,0,5971.0,39.784,-0.5308
2026-03-03,PYPL,6230859.54,2320019.86,37.23,95.2851,61395,2210633,47991,0,12519.0,39.348,-0.8483
2026-03-04,PYPL,4500934.36,2037764.45,45.27,95.6191,60964,1948493,28307,0,5037.0,39.6125,0.6686
2026-03-05,PYPL,5121484.02,2596860.67,50.71,94.9195,105072,2464927,26861,0,13046.0,40.4175,1.6314
2026-03-06,PYPL,4337667.73,2113034.79,48.71,94.5976,97181,1998880,16973,0,519.0,41.0405,1.2215
2026-03-09,PYPL,6656178.02,2808802.75,42.2,93.6404,153110,2630174,25518,0,9775.0,41.7605,0.0461
2026-03-10,PYPL,5567629.07,2904887.5,52.17,93.5736,143017,2718209,43661,0,3808.0,42.121,1.831
2026-03-11,PYPL,4332603.85,1652231.49,38.13,92.0631,119887,1521096,11248,0,2342.0,42.213,-0.7449
2026-03-12,PYPL,4716566.39,2075995.85,44.01,94.7233,102924,1966452,6619,0,9377.0,42.338,0.3337
2026-03-13,PYPL,3974456.36,1615282.22,40.64,93.3401,96624,1507706,10952,0,1.0,42.5455,-0.2944
2026-03-16,PYPL,3829802.56,1707703.28,44.59,91.9855,122670,1570840,14193,0,1423.0,43.194,0.4291
2026-03-17,PYPL,5266420.8,1834376.84,34.83,94.9109,76382,1741023,16971,0,1393.0,43.13,-1.3194
2026-03-18,PYPL,5725365.31,2347458.85,41.0,93.7822,126444,2201499,19515,0,11012.0,43.2215,-0.2046
2026-03-19,PYPL,5444704.04,1556318.33,28.58,94.7666,72151,1474870,9297,0,1819.0,42.6925,-2.353
2026-03-20,PYPL,5841838.37,1884971.54,32.27,95.8347,67509,1806457,11005,0,412336.0,42.424,-1.6435
