date,ticker,close,volume,short_interest,avg_daily_volume,days_to_cover,short_volume_ratio,call_volume,put_volume,put_call_volume_ratio,total_options_volume,rsi14,stoch20,dist_ma20,dist_ma50,dist_ma200,roc20,volume_surge,ma50_slope,price_exhaustion_score,options_fear_greed_score,short_pressure_score,trend_score,optix
2026-05-27,SOXL,217.98,74732725.7634,11051498.0,57424215.0,1.0,63.69,,,,,63.03706297204022,92.75644592839919,0.30955885445140674,0.9694650695068114,2.5642864968188275,0.9895947426067906,1.2557043156111618,0.6293453458758413,82.36107563780828,50.0,2.166666666666664,65.0,58.137484037013735
2026-05-28,SOXL,224.63,47153520.532197,11051498.0,57424215.0,1.0,62.63,,,,,68.80672094591091,98.82602975407349,0.3076152887895405,0.9691707269179315,2.614215517491046,0.9041281681783504,0.7978993303200441,0.6532041378870579,84.68596545277389,50.0,3.25,65.0,59.34618445374824
2026-05-29,SOXL,224.34,37035732.719344,12640313.0,58752701.0,1.0,60.06,,,,,64.08367007368672,98.52402280130293,0.2699401089134694,0.9096048852653815,2.553422509444273,0.7667349188848638,0.638304625710452,0.6731391493579744,81.8423994092236,50.0,9.75,65.0,59.04157973415062
2026-06-01,SOXL,227.03,37499579.382787,12640313.0,58752701.0,1.0,60.44,,,,,61.62296018794844,100.0,0.2509539329588315,0.8774695385673905,2.540577926867876,0.741027607361963,0.6482209544418343,0.6907965200661088,81.04066068190775,50.0,7.583333333333337,65.0,58.35579730685849
2026-06-02,SOXL,266.32,42799670.821354,12640313.0,58752701.0,1.0,44.37,,,,,76.21869409660107,100.0,0.41340805842143213,1.1266979165834843,3.0779826909295815,1.0879655037240297,0.7421840484646443,0.7218682367305858,89.80864177811851,50.0,60.666666666666664,65.0,70.26388880015332
2026-06-03,SOXL,280.54,49817248.926699,12640313.0,58752701.0,1.0,48.78,,,,,76.54647700959312,100.0,0.4368760979907089,1.1617048295078023,3.214042853934761,0.9460321864594896,0.8656108724703011,0.7468200405419598,89.57312718890621,50.0,52.0,65.0,68.8579072350078
2026-06-04,SOXL,262.7,59036010.805417,12640313.0,58752701.0,1.0,56.75,,,,,69.39220357885131,86.14799285658822,0.3129387186977566,0.9614431203894513,2.877576625312737,0.5839614109134761,1.031658173417264,0.7567202432325371,79.12314434695512,50.0,19.5,65.0,59.2804149561298
2026-06-05,SOXL,182.54,108280347.552373,12640313.0,58752701.0,1.0,63.47,,,,,53.59408033826638,23.907135647177565,-0.09457733467256935,0.3378578443587754,1.6636509557857866,0.20013149243918482,1.8346491547666661,0.7527484244250726,39.33562145667845,50.0,2.166666666666664,65.0,38.77602965550531
2026-06-08,SOXL,211.44,68180491.064122,12640313.0,58752701.0,1.0,60.18,,,,,60.97686564419434,46.346766053265,0.03987311423407447,0.5136221700118977,2.0441330181317676,0.1949813496100372,1.1348690584405219,0.7444721678992368,53.53725713071404,50.0,9.75,65.0,46.30426570882131
2026-06-09,SOXL,201.68,124754262.091733,12640313.0,58752701.0,1.0,57.31,,,,,58.84338034172854,38.76853792996351,-0.010865860207802669,0.41239614322290774,1.8672224919444664,0.059132444071001045,1.955679089578581,0.7281071189985187,43.6886938536373,50.0,17.333333333333336,65.0,43.009912234136785
2026-06-10,SOXL,180.65,94924150.337055,12640313.0,58752701.0,1.0,53.3,,,,,51.32453863385841,22.439630406087428,-0.11576979177883728,0.2407842663197648,1.5405785881189797,0.04712497101785296,1.4843102179504815,0.7164013354584977,31.734693053637255,50.0,36.833333333333336,65.0,40.555611874136765
2026-06-11,SOXL,223.99,72493397.829132,12640313.0,58752701.0,1.0,51.44,,,,,57.138831486004136,56.09131143722338,0.08580417326136325,0.5021292291184658,2.10711853215387,0.21575119409465904,1.1221844835781323,0.705317401865482,57.03769446096562,50.0,43.33333333333333,65.0,52.91696250743453
2026-06-12,SOXL,234.68,50419140.879602,12640313.0,58752701.0,1.0,49.22,,,,,56.939289084617805,64.39164531407717,0.12440947899997123,0.536231846109736,2.2093869234030326,0.26043289113271384,0.7762133740631124,0.6967565081981417,60.729558996499144,50.0,49.833333333333336,65.0,55.55330154842462
2026-06-15,SOXL,272.5,39914100.668932,10052019.0,68010763.0,1.0,54.83,,,,,57.28727885425442,93.75727929187047,0.27259141642927176,0.7339194086984855,2.665363725139417,0.6597636740163235,0.6251754781148997,0.7041645973441826,75.97542525081694,50.0,30.333333333333332,65.0,59.48894136286762
2026-06-16,SOXL,226.19,54771901.005837,10052019.0,68010763.0,1.0,50.81,,,,,51.14348589097189,57.75359502526233,0.03827369039531425,0.4085287634040331,2.0025393951381125,0.4905436573311368,0.872126434901438,0.702973782946295,54.88300038778871,50.0,44.416666666666664,65.0,52.10985017450492
2026-06-17,SOXL,233.86,49127336.963354,10052019.0,68010763.0,1.0,53.03,,,,,51.281908835865664,56.512017887087765,0.05365836076062025,0.42482706013810834,2.0621170062326497,0.5396668641780238,0.805499911733558,0.7049365942028982,55.996100728357405,50.0,34.66666666666667,65.0,51.14824532776083
2026-06-18,SOXL,279.29,49319835.850357,10052019.0,68010763.0,1.0,49.05,,,,,56.7814389732198,98.77630934899658,0.22897185980506496,0.6588068991732401,2.5971417605374385,0.6125288683602774,0.8150664050262105,0.7068764509686638,75.15927835039537,50.0,50.916666666666664,65.0,62.20917525767791
2026-06-22,SOXL,300.77,36399596.961026,10052019.0,68010763.0,1.0,46.15,,,,,58.69698542246544,100.0,0.28878966808641926,0.739119875936576,2.8061793309415775,0.686025001401424,0.6095425607131115,0.7108411566274593,78.2059923873624,50.0,59.583333333333336,65.0,64.88019657431309
2026-06-23,SOXL,231.42,70699684.509636,10052019.0,68010763.0,1.0,56.14,,,,,46.15638766519824,42.26606726606726,-0.016978383039457756,0.31455473732762873,1.8909305206035936,0.21442065491183881,1.1591141289851188,0.6944844964896439,41.2325978598005,50.0,21.666666666666664,65.0,42.55466903691023
2026-06-24,SOXL,229.57,57018526.183435,10052019.0,68010763.0,1.0,62.52,,,,,44.229332246450646,40.725940725940724,-0.025619041959882183,0.28233773459066547,1.8318918115435632,0.016741219717436584,0.9313881922954669,0.666988844814421,36.04040554468514,50.0,3.25,65.0,37.45568249510831
2026-06-25,SOXL,252.61,58209559.318333,10052019.0,68010763.0,1.0,60.23,,,,,48.87093525501869,59.90675990675992,0.06434929162058278,0.3851465093606099,2.073353643106032,0.15886778603541618,0.9638508423836939,0.6477315643866357,51.6388682348891,50.0,7.583333333333337,65.0,45.1249907057001
2026-06-26,SOXL,215.6,51987371.874439,10052019.0,68010763.0,1.0,66.32,,,,,54.0948275862069,29.095904095904093,-0.08985756861950489,0.16563601231378766,1.5933503897844123,-0.04019943907759427,0.8573907583867773,0.6214419838454885,31.551651174496,50.0,0.0,65.0,34.9482430285232
2026-06-29,SOXL,236.52,48952648.741122,10052019.0,68010763.0,1.0,58.76,,,,,53.16906747536013,46.51182151182152,-0.004105349586307261,0.25857782621281533,1.8098503955435854,0.0542925916020327,0.7994848014974841,0.5996486204436846,41.467841294414455,50.0,15.166666666666664,65.0,41.685528582486505
2026-06-30,SOXL,266.71,36721034.292504,16570810.0,51320749.0,1.0,50.06,,,,,57.813663999231004,71.64502164502164,0.11370934403434085,0.39370946923973316,2.1244215878073627,0.17477866361273842,0.6001020535696127,0.5825472985377518,58.396417442809195,50.0,47.666666666666664,65.0,54.17838784926413
2026-07-01,SOXL,217.55,60156291.925235,16570810.0,51320749.0,1.0,59.56,,,,,54.15297348399586,30.71928071928073,-0.08222434562870073,0.122553653472254,1.5207333358438309,-0.18312556323220175,0.9693380418653661,0.5475831889289047,29.630761963517557,50.0,13.0,65.0,36.033842883582906
2026-07-02,SOXL,181.47,92078836.769364,16570810.0,51320749.0,1.0,66.75,,,,,45.1350114416476,0.6826506826506771,-0.21809493853598017,-0.07160704528850903,1.0843862276824674,-0.3531403721394454,1.434870536763826,0.506172116519696,14.311558388217426,50.0,0.0,65.0,27.19020127469784
2026-07-06,SOXL,194.65,42756622.491817,16570810.0,51320749.0,1.0,58.53,,,,,45.445857698696216,11.655011655011657,-0.14882731448786435,-0.013166233199997546,1.2148904587889833,-0.25904073087171675,0.6748389966378467,0.47273989785861437,19.076804640014267,50.0,18.416666666666664,65.0,32.097062088006425
2026-07-07,SOXL,165.28,78957301.154834,16570810.0,51320749.0,1.0,64.91,,,,,37.562639198218264,0.0,-0.27451974462462936,-0.16650361175044304,0.8663790913145839,-0.0945546181658814,1.2757249367190169,0.45334427815482026,13.120818529713295,50.0,2.166666666666664,65.0,26.979368338370982
2026-07-08,SOXL,174.82,63175889.313056,16570810.0,51320749.0,1.0,58.21,,,,,43.485428767088536,7.041110045021768,-0.22642765956976063,-0.12250937622975144,0.958495402319453,-0.17319334090049188,1.024885921599611,0.42619517021090725,16.08401565540853,50.0,21.666666666666664,65.0,31.237807044933838
2026-07-09,SOXL,192.45,52530532.449614,16570810.0,51320749.0,1.0,57.07,,,,,44.87791603789921,20.05314045316997,-0.14667293341432808,-0.04066828707073056,1.1369194049936948,-0.04576556921856412,0.9052198807534185,0.4048915631600467,24.486732376735553,50.0,24.916666666666668,65.0,35.506529569531
2026-07-10,SOXL,192.26,37626300.530944,16570810.0,51320749.0,1.0,59.04,,,,,37.878492437115234,19.912908701749203,-0.14970401509003395,-0.049452592276171825,1.1162658353944521,0.06426792139496262,0.6820585146958699,0.3892278084034029,24.209755046620874,50.0,16.25,65.0,34.081889770979394
2026-07-13,SOXL,165.37,52686688.261248,16570810.0,51320749.0,1.0,66.44,,,,,31.421514818880354,0.06642556646247208,-0.25902360666462054,-0.18621291036285514,0.8072424116746741,-0.26170811196928434,0.9725194443058232,0.36277638064580997,9.022778747129358,50.0,1.0833333333333364,65.0,24.972750436208212
2026-07-14,SOXL,176.66,49269200.208462,16570810.0,51320749.0,1.0,59.04,,,,,41.06221845008813,8.399143848254482,-0.19801159900579957,-0.1348847231200171,0.9157123438522556,-0.2472302710073292,0.9104038197525313,0.33673379880259247,15.738356447601525,50.0,17.333333333333336,65.0,30.432260401420688
