date,ticker,total_volume,short_volume,short_volume_ratio,carteret_pct_of_short,nyse_short_volume,nasdaq_carteret_short_volume,nasdaq_chicago_short_volume,adf_short_volume,exempt_volume,svr_sma20,svr_zscore60
2025-09-19,SLV,14949794.0,9806130.0,65.59,95.142,364054,9329748,112328,0,965.0,58.9535,1.1816
2025-09-22,SLV,14964455.0,10708428.0,71.56,96.0415,315542,10284535,108351,0,5845.0,59.9065,1.7431
2025-09-23,SLV,14279424.0,8901087.0,62.34,96.2481,196082,8567126,137879,0,15516.0,60.0735,0.7623
2025-09-24,SLV,17882762.0,9903549.0,55.38,95.0747,391467,9415767,96315,0,7377.0,59.711,0.0282
2025-09-25,SLV,16909818.0,11189126.0,66.17,96.6353,260210,10812641,116275,0,15555.0,60.1565,1.1499
2025-09-26,SLV,18775913.0,12443459.0,66.27,94.3956,554812,11746083,142564,0,10070.0,60.0145,1.1342
2025-09-29,SLV,20438500.0,14127124.0,69.12,96.4457,363328,13625002,138794,0,1022.0,60.77,1.3945
2025-09-30,SLV,17114674.0,11066600.0,64.66,96.2449,315739,10651035,99826,0,20063.0,60.219,0.911
2025-10-01,SLV,20847744.0,11477900.0,55.06,92.0428,787407,10564575,125918,0,16051.0,59.591,-0.0955
2025-10-02,SLV,22246255.0,12813209.0,57.6,93.6479,680724,11999298,133187,0,71951.0,59.3855,0.1719
2025-10-03,SLV,20403506.0,13619910.0,66.75,95.3246,543694,12983123,93093,0,15381.0,59.419,1.1262
2025-10-06,SLV,17463416.0,12284479.0,70.34,95.0403,511622,11675207,97650,0,8108.0,60.2725,1.4665
2025-10-07,SLV,18777105.0,11770312.0,62.68,95.655,447835,11258891,63586,0,20222.0,61.0525,0.6507
2025-10-08,SLV,29392774.0,19598421.0,66.68,91.3639,1541427,17905879,151115,0,47273.0,61.7585,1.0552
2025-10-09,SLV,37722586.0,24353807.0,64.56,86.3638,3190978,21032865,129964,0,174954.0,62.1715,0.8191
2025-10-10,SLV,21766802.0,15331809.0,70.44,95.3405,584903,14617426,129480,0,57135.0,62.612,1.4331
2025-10-13,SLV,23871282.0,16490308.0,69.08,92.4005,1176241,15237119,76948,0,8183.0,63.004,1.2828
2025-10-14,SLV,21559022.0,14417621.0,66.88,85.547,2001996,12333836,81789,0,49434.0,63.7525,1.0362
2025-10-15,SLV,16901633.0,11171955.0,66.1,94.7691,409936,10587559,174460,0,4715.0,64.6945,0.9232
2025-10-16,SLV,20423342.0,13474622.0,65.98,95.6594,485881,12889737,99004,0,13089.0,65.162,0.8874
2025-10-17,SLV,37070266.0,15478711.0,41.76,83.4977,2446822,12924369,107520,0,410230.0,63.9705,-1.5922
2025-10-20,SLV,8229066.0,4358449.0,52.96,94.4734,186627,4117573,54249,0,12108.0,63.0405,-0.488
2025-10-21,SLV,36128940.0,18712235.0,51.79,85.8368,2323755,16061987,326493,0,397554.0,62.513,-0.6545
2025-10-22,SLV,16824689.0,8628500.0,51.28,87.7457,892955,7571136,164409,0,93901.0,62.308,-0.7549
2025-10-23,SLV,10717762.0,6362443.0,59.36,92.2159,378783,5867186,116474,0,13282.0,61.9675,0.1247
2025-10-24,SLV,10370367.0,5334070.0,51.44,90.1064,430685,4806341,97044,0,15990.0,61.226,-0.8734
2025-10-27,SLV,17561729.0,7351315.0,41.86,91.824,431017,6750269,170029,0,143584.0,59.863,-1.9965
2025-10-28,SLV,13617509.0,8332881.0,61.19,85.9071,1091195,7158540,83146,0,18932.0,59.6895,0.3109
2025-10-29,SLV,9467809.0,5522301.0,58.33,91.0138,368943,5026058,127300,0,15152.0,59.853,-0.0217
2025-10-30,SLV,17530487.0,10731961.0,61.22,93.3652,606243,10019922,105796,0,11300.0,60.034,0.3145
2025-10-31,SLV,10220433.0,6269730.0,61.35,87.7613,668462,5502395,98873,0,14545.0,59.764,0.3147
2025-11-03,SLV,7598828.0,4042583.0,53.2,94.3318,182005,3813442,47136,0,30741.0,58.907,-0.6995
2025-11-04,SLV,15084306.0,9116134.0,60.43,58.6471,3687482,5346344,82308,0,13096.0,58.7945,0.1692
2025-11-05,SLV,5901298.0,3437988.0,58.26,76.5615,754297,2632176,51515,0,7440.0,58.3735,-0.1419
2025-11-06,SLV,6511833.0,3801792.0,58.38,95.7957,78539,3641955,81298,0,5159.0,58.0645,-0.1472
2025-11-07,SLV,6602880.0,3882020.0,58.79,95.8647,97801,3721488,62731,0,26802.0,57.482,-0.1417
2025-11-10,SLV,8592237.0,5942242.0,69.16,93.3327,272649,5546057,123536,0,2439.0,57.486,1.2709
2025-11-11,SLV,8011519.0,5538728.0,69.13,93.9228,228937,5202130,107661,0,33181.0,57.5985,1.231
2025-11-12,SLV,17845004.0,12038608.0,67.46,93.2669,577879,11228039,232690,0,28160.0,57.6665,0.9764
2025-11-13,SLV,14134490.0,8875152.0,62.79,92.9849,490011,8252555,132586,0,84826.0,57.507,0.3306
2025-11-14,SLV,10944817.0,5541090.0,50.63,94.2257,175418,5221129,144543,0,33061.0,57.9505,-1.3022
2025-11-17,SLV,7937037.0,4926171.0,62.07,89.4026,402146,4404124,119901,0,8232.0,58.406,0.2202
2025-11-18,SLV,8757135.0,5568170.0,63.58,78.3134,1104701,4360621,102848,0,4266.0,58.9955,0.4147
2025-11-19,SLV,10365281.0,6435759.0,62.09,88.9228,605921,5722857,106981,0,9229.0,59.536,0.2136
2025-11-20,SLV,7885616.0,5225356.0,66.26,87.2555,583503,4559410,82443,0,4288.0,59.881,0.7574
2025-11-21,SLV,7026047.0,4041353.0,57.52,96.1705,95396,3886590,59367,0,10981.0,60.185,-0.4042
2025-11-24,SLV,6323627.0,4276718.0,67.63,96.9089,65871,4144519,66328,0,256.0,61.4735,0.9467
2025-11-25,SLV,6591306.0,4136093.0,62.75,95.9939,88787,3970397,76909,0,2438.0,61.5515,0.3206
2025-11-26,SLV,9813708.0,6644419.0,67.71,95.2182,244850,6326699,72870,0,7281.0,62.0205,1.0228
2025-11-28,SLV,14238781.0,10027963.0,70.43,93.8282,388348,9409056,230559,0,8652.0,62.481,1.3657
